DrugName,Manufacturer,NAFDAC_Number,Barcode,BatchNumber,ExpiryDate,DosageForm,Strength,PackageSize,Country,Label,Label_Encoded
paracetmol,fidson healthcare plc,k8-7574,6199928798725,unknown,unknown,injection,250mg/5ml,unknown,china,Suspicious,1
vitamin c,skg pharma ltd,c0-6504,6190805491470,l25-4511,2029-04-25,cream,125mg/5ml,100 tablets,nigeria,Genuine,0
ors,swiss pharma nigeria ltd,a0-5011,6197917693679,l24-2517,2026-02-25,ointment,200mg,30 tablets,nigeria,Genuine,0
multivitamin,juhel nigeria ltd,x3-2147,0000000000000,zfju,26/08/2026,sachet,unknown,20 tablets,india,Suspicious,1
promethazine,hovid nigeria ltd,a9-5381,6190244550226,b26-6666,2026-03-24,tablet,250mg,1 tube,nigeria,Genuine,0
tetracycline,skg pharma ltd,j3-9603,6194215031783,bn25-8292,2027-04-11,drops,250mg/5ml,200ml bottle,nigeria,Genuine,0
ibuprofen,chi pharmaceuticals ltd,s2-9021,6191296666767,bn24-8845,2027-12-12,tablet,10mg,30g tube,nigeria,Genuine,0
ors,mopson pharmaceutical ltd,r0-8107,6198828503170,bt24-5347,2026-12-07,drops,200mg,1 vial,nigeria,Genuine,0
omeprazole,goodhealth generics,k-29,4342139579656280,unknown,2022-01-01,ointmetn,125mg/5ml,5 vials,ghana,Suspicious,1
paracetamol,hovid nigeri altd,pending,1111111111111,batch-615,UNKNOWN,capsule,125mg/5ml,100ml bottle,pakistan,Suspicious,1
ceftriaxone,skg pharma ltd,b0-3897,6198427624672,bn26-8137,2029-08-18,syrup,5mg,10 tablets,nigeria,Genuine,0
atenolol,pharma deko plc,c3-4225,6192541107608,b26-5577,2028-04-04,drops,200mg,20 capsules,nigeria,Genuine,0
loperamide,topnotch drugs ltd,sv-kjud,q339ehayqtoby,pmp,03/10/2025,powedr,20mg,10 capsules,unknown,Suspicious,1
gentamicin,chi pharmaceuticals ltd,f1-3865,6192427677461,bt25-1203,2029-01-04,capsule,100mg,10 capsules,nigeria,Genuine,0
atenolol,may & baker nigeria plc,f1-7816,6199797296599,bn26-2240,2029-08-04,ointment,50mg,10 tablets,nigeria,Genuine,0
paracetamol,skg pharma ltd,b5-8867,6198360914984,lot24-7316,2027-05-25,injection,400mg,100ml bottle,nigeria,Genuine,0
amoxil,curefast pharmaceuticals,i-64,0000000000000,29,unknown,suspension,200mg,10 tablets,ghana,Suspicious,1
instant relief caps,wonderdrug co,pwfgaho,0000000000000,batch-763,2021-10-18,ceram,10mg,60ml bottle,unknown,Suspicious,1
magic cure pill,supercure pharma,j-85,0000000000000,batch-123,unknown,cream,200mg,unknown,unknown,Suspicious,1
atenolol,hovid nigeria ltd,j5-1380,6199022599990,l25-3445,2029-02-18,ointment,200mg,100ml bottle,nigeria,Genuine,0
furosemide,may & baker nigeria plc,w2-9498,6193857865275,unknown,2028-11-25,injection,1g,100ml bottle,nigeria,Genuine,0
vitaimn c,medexpress ltd,k41r,3333333333333,1,2020-06-26,syrup,400mg,100 tablets,unknown,Suspicious,1
ferrous sulphate,juhel nigeria ltd,m2-8111,6190602908461,l26-9170,2028-12-24,cream,10mg,10 tablets,nigeria,Genuine,0
ciprofloxacn,pharmaplus international,i-70,vfanmbrnfvxjr,54,18/06/2025,drops,10mg,1 pack,ghana,Suspicious,1
diclofenac,sanofi nigeria,x4-3193,6197881658032,b26-2817,2027-08-06,syrup,1g,1 vial,nigeria,Genuine,0
furosemide,medline drugs ltd,t0-6401,0334050,lctxlxaq,26/10/2025,syrup,unknown,100 tablets,unknown,Suspicious,1
amoxicilin,wonderdrug co,a2-914243,0000000000000,batch-673,2021-03-16,syrup,500mg/5ml,1 tube,china,Suspicious,1
folic acid,healthmax pharma,u2-7338,8066640599,??,2020-09-16,powder,unknown,20 capsules,ghana,Suspicious,1
ibuprofen,swiss pharma nigeria ltd,q3-4087,6198988816714,bn24-0384,2029-06-10,cream,100mg,100ml bottle,nigeria,Genuine,0
doxycycline,glaxosmithkline nigeria,t9-3996,6194065838723,l26-2530,2028-09-28,capsule,100mg,30 tablets,nigeria,Genuine,0
tramadol,sanofi nigeria,t3-7749,6192165914385,b24-3974,2027-06-21,cream,250mg/5ml,100 tablets,nigeria,Genuine,0
flagy,fastrelief drugs,unknown,6666666666666,unknown,05/01/2025,drops,100mg,5 vials,nigeria,Suspicious,1
multivitamin,chi pharmaceuticals ltd,j7-5722,6191407034911,bn25-5110,2026-07-12,tablet,500mg,10 capsules,nigeria,Genuine,0
amlodipine,dana pharmaceuticals ltd,c9-2757,unknown,l26-9407,2027-02-02,cream,200mg,5 vials,nigeria,Genuine,0
azithromycin,healthmax pharma,c3-9193,398189,79,21/11/2025,tablte,50mg,20 tablets,india,Suspicious,1
amatem,juhel nigeria ltd,y5-7559,6191857906479,l26-2089,2028-10-04,tablet,200mg,10 tablets,nigeria,Genuine,0
nifedipine,neimeth international pharmaceuticals,a0-8128,6192588576696,lot25-0586,2027-02-18,tablet,10mg,100 tablets,nigeria,Genuine,0
power drug,pahrma deko plc,cd-wxog,6190564468539,tqwec,07/12/2026,ointment,???,bulk,pakistan,Suspicious,1
diclofenac,evans medical plc,w2-8586,6190866882637,lot24-5511,2026-08-28,cream,250mg,200ml bottle,nigeria,Genuine,0
ferrous sulphate,hovid nigeria ltd,e2-1721,6196732318293,l24-7016,2026-12-25,cream,50mg,30 tablets,nigeria,Genuine,0
vitamin c,novadrug industries,kr6l5a,6194382039506,axtrbq,UNKNOWN,drops,250mg,100ml bottle,unknown,Suspicious,1
ciprofloxacin,bioraj pharmaceuticals ltd,l1-9163,6194460045214,bt26-9978,2026-06-04,capsule,400mg,30g tube,nigeria,Genuine,0
amoxicillin,medexpress ltd,6nphvo,ryblzzzfwijgf,---,12/02/2025,saceht,200mg,1 vial,pakistan,Suspicious,1
metronidazole,mopson pharmaceutical ltd,k4-2191,6192151641196,lot25-7116,2028-01-19,capsule,1g,1 tube,nigeria,Genuine,0
promethazine,emzor pharmaceutical industries,j7-2351,6192814429444,lot24-1927,2027-10-24,syrup,125mg/5ml,100ml bottle,nigeria,Genuine,0
flagy,fastrelief drugs,k9m,6192055033004,ctp,???,drops,200mg,10 tablets,nigeria,Suspicious,1
vitamin c,evans medical plc,n5-2476,6191131290140,b25-0275,2029-11-17,syrup,50mg,100ml bottle,nigeria,Genuine,0
gentamicin,healwell pharma ltd,gz36n3,0000000000000,batch-500,20/05/2025,syrup,125mg/5ml,1 vial,unknown,Suspicious,1
amlodipine,juhel nigeria ltd,x8-9822,6190705326018,bn26-4050,2026-01-08,powder,100mg,1 vial,nigeria,Genuine,0
metronidazole,glaxosmithkline nigeria,b7-9316,6193567430008,bt26-6315,2026-09-16,tablet,20mg,30g tube,nigeria,Genuine,0
vitamin c,chi pharmaceuticals ltd,k9-1329,6192035713438,bt25-0973,2029-12-10,syrup,400mg,30 tablets,nigeria,Genuine,0
folic acid,mopson pharmaceutical ltd,y6-5380,64871300025546453347,batch-126,UNKNOWN,injection,500mg,1 vial,nigeria,Suspicious,1
paracetamol,megadrug industries,9tlcfroalc,1070716,35,UNKNOWN,tablet,125mg/5ml,100 tablets,china,Suspicious,1
folic acid,glaxosmithkline nigeria,w5-3392,6192047277904,bn24-4293,2027-03-18,sachet,5mg,60ml bottle,nigeria,Genuine,0
amatem,healthmax pharma,o6ibrg,a0keu4mljtlhd,---,2021-12-10,suspension,400mg,30 tablets,india,Suspicious,1
ranitidine,drugfield pharmaceuticals ltd,t8-8921,6197694531478,bt25-9436,2029-06-01,drops,10mg,30 tablets,nigeria,Genuine,0
ciprofloxacn,chi pharmaceuticals ltd,d2-9453,4444444444444,batch-934,UNKNOWN,syrup,10mg,1 pack,ghana,Suspicious,1
augmentin,emzor pharmaceutical industries,l9-7185,6198519537743,b26-3076,2029-07-21,suspension,100mg,1 vial,nigeria,Genuine,0
instant relief caps,curefast pharmaceuticals,b7-9408,fwuqu9kjguszb,51,20/05/2026,syrup,10mg,unknown,india,Suspicious,1
ferrous sulphate,neimeth international pharmaceuticals,t6-3011,6193674994653,l26-9982,2029-08-17,injection,100mg,30g tube,nigeria,Genuine,0
amatem,nigerian german chemicals plc,e6-4267,6198380657878,lot26-8331,2028-07-09,syrup,500mg,20 capsules,nigeria,Genuine,0
emzor paracetamol,nigerian german chemicals plc,v9-6273,6198669346547,l24-2363,2029-10-23,powder,400mg,1 tube,nigeria,Genuine,0
folic acid,emzor pharmaceutical industries,z9-3730,6198605210260,bt25-0740,2029-07-10,powder,1g,10 tablets,nigeria,Genuine,0
ciprofloxacn,curefast pharmaceuticals,-5733,0000000000000,batch-080,2023-08-12,suspension,250mg/5ml,bulk,unknown,Suspicious,1
promethazine,biofix pharmaceuticals,w2-6759,0000000000000,batch-020,23/07/2026,sachet,500mg/5ml,1 pack,china,Suspicious,1
artemether lumefantrine,dana pharmaceuticals ltd,g8-2903,6190595518425,l26-4931,2028-01-21,tablet,10mg,100 tablets,nigeria,Genuine,0
spironolactone,healwell pharma ltd,k1-829392,395632,34,03/09/2025,cream,500mg/5ml,30 tablets,pakistan,Suspicious,1
lonart,bestpills international,f1-5620,1111111111111,batch-391,2023-08-01,syrup,250mg,1 vial,pakistan,Suspicious,1
loperamide,sunrise medications,-1370,6194905389057,batch-079,06/09/2025,ointment,50mg,30g tube,china,Suspicious,1
ibuprofen,drugfield pharmaceuticals ltd,f4-2676,6192896599943,b26-7856,2027-03-01,suspension,200mg,20 tablets,nigeria,Genuine,0
atenolol,pharma deko plc,g7-8372,6198052924079,lot25-3794,2029-07-22,ointment,500mg/5ml,30g tube,nigeria,Genuine,0
vitamin c,biofix pharmaceuticals,-9234,6194408895932,zybg,14/01/2026,syrup,250mg,100 tablets,ghana,Suspicious,1
diclofenac,pharma deko plc,i5-3200,unknown,bt26-1443,2028-03-18,suspension,400mg,1 tube,nigeria,Genuine,0
augmenti,alphahealth industries,p0-9488,1111111111111,zeaa,unknown,tablet,400mg,100ml bottle,india,Suspicious,1
erythromycin,medline drugs ltd,1lsj75,0000000000000,unknown,2023-06-13,syrup,???,1 vial,nigeria,Suspicious,1
ampiclox,pharma deko plc,r6-2310,6192059438973,l24-7714,2028-01-04,drops,50mg,20 capsules,nigeria,Genuine,0
instant relief caps,medexpress ltd,bwf,5555555555555,batch-718,2020-01-07,ointment,400mg,10 capsules,china,Suspicious,1
panado,alphahealth industries,c-36,22901138,unknown,16/10/2026,drops,20mg,10 tablets,china,Suspicious,1
cotrimoxazole,pharma deko plc,v1-9032,6197115921246,b26-9690,2028-07-20,powder,400mg,100ml bottle,nigeria,Genuine,0
panadol,sanofi nigeria,y0-3403,6192784699731,bt26-5287,2028-10-26,injection,20mg,1 tube,nigeria,Genuine,0
gilbenclamide,sgk pharma ltd,not registered,cnkidz3mcotwm,batch-436,unknown,suspension,20mg,60ml bottle,unknown,Suspicious,1
vitamin c,sanofi nigeria,v2-6731,6194629148657,bt26-8724,2026-11-22,ointment,5mg,20 capsules,nigeria,Genuine,0
erythromycin,pharma deko plc,f5-4517,6192447209994,bt26-4935,2029-07-18,drops,500mg,20 tablets,nigeria,Genuine,0
instant relief caps,pharmafast nigeria,y5-210982,eltu2et86peal,zkvbkudn,04/04/2026,cream,125mg/5ml,30g tube,china,Suspicious,1
megavit plus,neimeth international pharmaceuticals,q3-5213,6197151547462,ygu,???,tablet,400mg,20 capsules,nigeria,Suspicious,1
erythromycin,fidson healthcare plc,ta-iiqj,ky8xu5689efqb,batch-866,09/06/2026,ointment,500mg,10 tablets,china,Suspicious,1
panado,chi pharmaceuticals ltd,e6-273219,0000000000000,batch-821,2021-05-12,scahet,250mg/5ml,100ml bottle,india,Suspicious,1
chlorpheniramine,glaxosmithkline nigeria,h4-3310,6191388209087,b24-0209,2029-01-12,suspension,400mg,1 vial,nigeria,Genuine,0
ferrous sulphate,may & baker nigeria plc,k0-7643,6191387829316,bn26-2419,2029-11-01,drops,1g,10 tablets,nigeria,Genuine,0
doxycycline,juhel nigeria ltd,z8-5377,6190449972786,l25-5546,2029-08-11,suspension,250mg/5ml,100 tablets,nigeria,Genuine,0
flagyl,alphahealth industries,unknown,0000000000000,batch-649,???,ointment,5mg,10 tablets,ghana,Suspicious,1
paracetmol,sanof inigeria,n4-241800,6192943610904,34,02/11/2025,injection,1g,1 pack,nigeria,Suspicious,1
ranitidine,skg pharma ltd,f5-7125,6198777496905,bt24-3425,2029-04-13,suspension,400mg,60ml bottle,nigeria,Genuine,0
lisinopril,mopson pharmaceutical ltd,r0-4845,6195118718139,bt25-9444,2028-11-14,capsule,125mg/5ml,60ml bottle,nigeria,Genuine,0
tramadol,skg pharma ltd,o4-7256,6198862392402,l25-9185,2026-12-28,powder,250mg,10 capsules,nigeria,Genuine,0
lonart ds extra,supercure pharma,b5-7951,424532065432614340,62,2022-03-27,injection,250mg,30 tablets,india,Suspicious,1
panado,pharmaplus international,iv-cyew,21288669059469984,69,unknown,powdre,250mg,5 vials,china,Suspicious,1
tramadol,nigerian german chemicals plc,y4-9576,6196287203198,lot25-1992,2029-07-13,injection,10mg,10 tablets,nigeria,Genuine,0
ibuprofen,drugking industries,cb4yhb,158878,batch-047,26/06/2025,injection,50mg,1 tube,nigeria,Suspicious,1
cotrmioxazole,pharmafast nigeria,none,6192277773313,unknown,13/05/2026,tablet,500mg,60ml bottle,pakistan,Suspicious,1
diazepma,fidson healthcare plc,q6-8031,23214252611978925946,batch-426,12/12/2025,syrpu,125mg/5ml,200ml bottle,india,Suspicious,1
promethazine,dana pharmaceuticals ltd,k3-6006,6190018167780,lot26-1197,2029-06-06,injection,400mg,10 capsules,nigeria,Genuine,0
nifedipine,glaxosmithkline nigeria,y2-6096,6191904966319,b26-4078,2026-12-25,injection,125mg/5ml,1 vial,nigeria,Genuine,0
diazepam,emzor pharmaceutical industries,a5-8616,6197950017326,lot26-0301,2026-08-07,sachet,50mg,20 tablets,nigeria,Genuine,0
artemether lumefantrine,megadrug industries,6rzt,nrvrm61xpjrei,unknown,2022-01-17,cream,500mg/5ml,100ml bottle,china,Suspicious,1
ciprofloxacn,tuyil pharmaceutical industries,5mhsbd,52664267,48,2021-08-06,injcetion,50mg,100ml bottle,unknown,Suspicious,1
multivitamin,emzor pharmaceutical industries,f3-8068,6192192158189,b25-0170,2028-10-04,ointment,250mg,30g tube,nigeria,Genuine,0
lonart,skg pharma ltd,i3-1348,6196881164031,lot24-9777,2026-09-16,suspension,5mg,100ml bottle,nigeria,Genuine,0
loperamide,chi pharmaceuticals ltd,c4-6952,6195112747470,bt24-9418,2029-01-12,injection,20mg,60ml bottle,nigeria,Genuine,0
amlodipine,glaxosmithkline nigeria,pmsttzrh,6195537582687,93,UNKNOWN,tablet,200mg,200ml bottle,pakistan,Suspicious,1
nifdeipine,pharmaplus international,u245mr,0000000000000,xbunqyqv,unknown,syrup,125mg/5ml,unknown,ghana,Suspicious,1
vitamin c,medline drugs ltd,w4pyx3,tf3asfdcjlka3,unknown,unknown,cream,250mg/5ml,10 capsules,india,Suspicious,1
augmentin,medline drugs ltd,ovvt2i,cxds1akpxfpmh,73,2021-01-03,capsule,500mg,30g tube,india,Suspicious,1
diclofenac,glaxosmithkline nigeria,o1-3522,6197484677379,b24-6384,2027-10-17,syrup,250mg,10 capsules,nigeria,Genuine,0
tramadol,skg pharma ltd,oq-vuao,14286,unknown,06/06/2025,cream,125mg/5ml,5 vials,nigeria,Suspicious,1
furosemide,emzor pharmaceutical industries,w9-7415,6199029593915,l24-5525,2026-04-12,cream,100mg,5 vials,nigeria,Genuine,0
furosemide,bioraj pharmaceuticals ltd,y4-8617,6198189137182,b25-0964,2028-09-25,tablet,50mg,100ml bottle,nigeria,Genuine,0
cotrimoxazole,evans medical plc,o2-2848,6193074235912,lot24-6404,2026-05-02,injection,125mg/5ml,200ml bottle,nigeria,Genuine,0
azithromycin,hovid nigeria ltd,f6-8158,6191287585756,l25-6989,2029-08-01,powder,500mg,30g tube,nigeria,Genuine,0
unknown,healthmax pharma,aaye8s,6195133157920,jmwekha,27/03/2026,capsule,500mg/5ml,20 tablets,ghana,Suspicious,1
loperamide,drugfield pharmaceuticals ltd,q5-7088,6199224839580,b25-7835,2029-04-11,syrup,100mg,200ml bottle,nigeria,Genuine,0
amoixl,quickcure labs,-2815,mvsgdxmtmzhti,25,unknown,supsension,1g,5 vials,india,Suspicious,1
ferrous sulphate,sanofi nigeria,p3-8285,6191122299077,l25-7144,2026-12-17,cream,125mg/5ml,200ml bottle,nigeria,Genuine,0
emzor paracetamol,nigerian german chemicals plc,w0-4927,6192484137687,bn25-1353,2026-09-25,cream,20mg,100ml bottle,nigeria,Genuine,0
loperamide,swiss pharma nigeria ltd,a5-6902,6195657490251,bn25-2558,2026-02-20,suspension,500mg/5ml,20 capsules,nigeria,Genuine,0
furosemide,healthmax pharma,j7-8391,6666666666666,batch-223,???,capsule,400mg,20 tablets,nigeria,Suspicious,1
coartem,hovid nigeria ltd,f5-4338,6191106092090,b24-9468,2029-01-24,syrup,50mg,5 vials,nigeria,Genuine,0
augmentin,sanofi nigeria,b2-6237,6197252045652,bn25-4878,2026-09-07,syrup,500mg/5ml,20 tablets,nigeria,Genuine,0
amoxicillin,alphahealth industries,-8334,9529055095,unknown,unknown,powdre,400mg,30g tube,unknown,Suspicious,1
emzor paracetamol,chi pharmaceuticals ltd,w4-9295,6191569857007,bt26-7364,2027-01-13,suspension,125mg/5ml,10 capsules,nigeria,Genuine,0
ors,juhel nigeria ltd,x3-9759,6197584282411,l24-4337,2027-11-11,capsule,200mg,20 capsules,nigeria,Genuine,0
ibuprofen,pharmaplus international,y7-9709,175438,updp,23/08/2025,ointment,10mg,5 vials,india,Suspicious,1
augmenti,goodhealth generics,u6-869297,6199670447773,bpryw,2022-12-01,capusle,1g,200ml bottle,pakistan,Suspicious,1
lonart,pfizer nigeria,b-21,ikglinsjqswlz,deadlqyl,unknown,capsule,400mg,100ml bottle,unknown,Suspicious,1
folic acid,nigerian german chemicals plc,m6-8130,6198327238658,l24-4826,2027-03-01,capsule,125mg/5ml,10 tablets,nigeria,Genuine,0
coartem,megadrug industries,aq-mghf,0000000000000,hymy,2021-12-12,onitment,500mg/5ml,20 capsules,pakistan,Suspicious,1
flagyl,chi pharmaceuticals ltd,y4-9215,6199056708672,bn24-9917,2026-01-22,injection,200mg,60ml bottle,nigeria,Genuine,0
augmentin,evans medical plc,s1-3413,6197113072407,l26-8798,2029-06-09,capsule,5mg,20 tablets,nigeria,Genuine,0
lonart ds extra,curefast pharmaceuticals,j4gu,6195676776190,batch-157,2023-01-19,syrup,unknown,1 vial,india,Suspicious,1
ors,fidson healthcare plc,z7-7020,6192071678111,bt25-6663,2026-12-06,capsule,10mg,100 tablets,nigeria,Genuine,0
azithromycin,goodhealth generics,y0-277600,6190284655929,bqcqutgu,2023-05-12,suspension,100mg,20 tablets,china,Suspicious,1
erythromycin,pfizer nigeria,l3-4762,qrktf1uy3kl1r,5,2022-03-13,injection,125mg/5ml,5 vials,ghana,Suspicious,1
ibuprofen,swiss pharma nigeria ltd,x8-2797,6191659930207,bt24-3505,2026-05-23,syrup,200mg,30 tablets,nigeria,Genuine,0
metronidazole,bioraj pharmaceuticals ltd,s8-3415,6191722332068,bn26-7233,2027-11-05,sachet,400mg,20 capsules,nigeria,Genuine,0
spironolactone,sanofi nigeria,m3-5994,6198079705095,l25-4988,2028-02-01,cream,250mg/5ml,30 tablets,nigeria,Genuine,0
flagy,mopson pharmaceutical ltd,9o2ee7,6190706594805,batch-910,unknown,dorps,50mg,20 tablets,china,Suspicious,1
paracetamol,novadrug industries,e8jkr0trl,ornuevfkbtddy,50,14/01/2026,injection,250mg/5ml,60ml bottle,pakistan,Suspicious,1
diclofenac,neimeth international pharmaceuticals,w9-8790,6194014890253,bn24-9717,2027-12-27,ointment,250mg,10 capsules,nigeria,Genuine,0
multivitamin,fidson healthcare plc,u0-9497,6193583286344,bt25-5531,2029-04-18,suspension,500mg,10 tablets,nigeria,Genuine,0
ceftriaxone,sunrise medications,s-82,0000000000000,batch-111,17/06/2026,tablet,100mg,10 tablets,india,Suspicious,1
chlorpheniramine,goodhealth generics,i0-4774,03793061,7,2022-06-17,syrup,400mg,100 tablets,unknown,Suspicious,1
augmenti,juehl nigeria ltd,pbqed,0000000000000,unknown,2023-03-12,ointment,unknown,100 tablets,nigeria,Suspicious,1
lonart ds extra,fidson healthcare plc,j-28,6195594698901,unknown,2021-08-24,syrup,???,100 tablets,unknown,Suspicious,1
metronidazole,chi pharmaceuticals ltd,v3-8852,6194167872564,b26-6470,2027-02-04,tablet,100mg,30 tablets,nigeria,Genuine,0
loperamide,skg pharma ltd,t5-2075,6193711624116,bt25-1935,2027-08-05,suspension,5mg,5 vials,nigeria,Genuine,0
gentamicin,tuyil pharmaceutical industries,i5-9336,6194760944125,b24-3687,2027-08-05,capsule,250mg/5ml,200ml bottle,nigeria,Genuine,0
furosemide,glaxosmithkline nigeria,i3-8483,6194470120451,lot25-1998,2026-01-01,syrup,125mg/5ml,5 vials,nigeria,Genuine,0
hydrocortisone,hovid nigeria ltd,l1-4400,6198544577028,b26-2831,2028-10-14,ointment,500mg/5ml,10 tablets,nigeria,Genuine,0
ranitidine,tuyil pharmaceutical industries,c8-9830,6191312920873,lot24-0741,2027-10-07,syrup,250mg,200ml bottle,nigeria,Genuine,0
artemether lumefantrine,drugking industries,m2-7057,36127698762295794,??,02/09/2025,sachet,unknown,100 tablets,unknown,Suspicious,1
tetracycline,evans medical plc,g6-5118,6195970108222,bn25-8536,2026-02-08,drops,1g,1 vial,nigeria,Genuine,0
vitamin b compelx,drugking industries,-3690,dsyw2iyygxehn,batch-768,UNKNOWN,cream,10mg,20 capsules,unknown,Suspicious,1
coartem,fidson healthcare plc,m8-8118,6192278376933,b26-8689,2027-04-03,injection,500mg/5ml,60ml bottle,nigeria,Genuine,0
amoxicilin,novadrug industries,q5-4157,6666666666666,85,24/03/2025,craem,20mg,100ml bottle,pakistan,Suspicious,1
diazepam,wonderdrug co,w30y28,6190434010264,batch-333,14/11/2026,cream,20mg,10 capsules,pakistan,Suspicious,1
azithromycin,fidson healthcare plc,k9-8033,6199664160527,b25-6028,2026-07-28,capsule,200mg,60ml bottle,nigeria,Genuine,0
cotrimoxazole,pfizer nigeria,fvqy,6196278908804,unknown,2020-03-22,capsule,125mg/5ml,10 capsules,pakistan,Suspicious,1
ampiclox,fastrelief drugs,4gma4i,0000000000000,??,19/12/2025,tablet,100mg,1 pack,unknown,Suspicious,1
loanrt,curefast pharmaceuticals,y5-148218,4jexp5lmjra26,---,02/08/2026,sachet,250mg/5ml,5 vials,unknown,Suspicious,1
omeprazole,hovid nigeria ltd,w1-7643,6190930685386,b24-7450,2027-11-25,powder,200mg,30 tablets,nigeria,Genuine,0
power drug,topnotch drugs ltd,w4-292669,bjvnabdtimriy,batch-684,UNKNOWN,syrup,500mg/5ml,10 tablets,china,Suspicious,1
chlorpheniramine,sunrise medications,h3-9553,kku9xebkr5ycs,pirie,2022-06-13,drops,50mg,1 tube,nigeria,Suspicious,1
megavit plus,bioraj pharmaceuticals ltd,y5-4026,6197487700784,hmreehor,unknown,syrup,???,20 tablets,pakistan,Suspicious,1
multiviatmin,healthmax pharma,ndy696,6192030695166,batch-401,???,tablet,200mg,10 capsules,ghana,Suspicious,1
cotrimoxazole,may & baker nigeria plc,r2-8201,6191721733736,b26-9644,2027-01-11,syrup,100mg,30 tablets,nigeria,Genuine,0
ferrous sulphate,sanofi nigeria,s5-5909,6196521707307,bt26-3872,2029-10-07,suspension,50mg,1 tube,nigeria,Genuine,0
